geometry,gridId,mean_CO2_value,x_centroid,y_centroid
"POLYGON ((7.231438037162147 51.86082587087206, 7.276353801368123 51.86082587087206, 7.276353801368123 51.83307852082054, 7.231438037162147 51.83307852082054, 7.231438037162147 51.86082587087206))",101,20.2,7.253895919265135,51.8469521958463
"POLYGON ((7.276353801368123 51.8885561180277, 7.321269565574099 51.8885561180277, 7.321269565574099 51.86082587087206, 7.276353801368123 51.86082587087206, 7.276353801368123 51.8885561180277))",116,20.1,7.298811683471111,51.87469099444988
"POLYGON ((7.321269565574099 51.8885561180277, 7.366185329780076 51.8885561180277, 7.366185329780076 51.86082587087206, 7.321269565574099 51.86082587087206, 7.321269565574099 51.8885561180277))",132,19.7,7.343727447677089,51.87469099444988
"POLYGON ((7.411101093986052 51.91626926633776, 7.456016858192028 51.91626926633776, 7.456016858192028 51.8885561180277, 7.411101093986052 51.8885561180277, 7.411101093986052 51.91626926633776))",163,19.1,7.433558976089039,51.90241269218274
"POLYGON ((7.186522272956172 51.83307852082054, 7.231438037162147 51.83307852082054, 7.231438037162147 51.80531406383633, 7.186522272956172 51.80531406383633, 7.186522272956172 51.83307852082054))",86,19.0,7.208980155059159,51.819196292328435
"POLYGON ((7.141606508750195 51.74973381299063, 7.186522272956172 51.74973381299063, 7.186522272956172 51.72191801112358, 7.141606508750195 51.72191801112358, 7.141606508750195 51.74973381299063))",73,18.7,7.164064390853184,51.73582591205711
"POLYGON ((7.141606508750195 51.77753249589622, 7.186522272956172 51.77753249589622, 7.186522272956172 51.74973381299063, 7.141606508750195 51.74973381299063, 7.141606508750195 51.77753249589622))",72,18.7,7.164064390853184,51.763633154443426
"POLYGON ((7.276353801368123 51.86082587087206, 7.321269565574099 51.86082587087206, 7.321269565574099 51.83307852082054, 7.276353801368123 51.83307852082054, 7.276353801368123 51.86082587087206))",117,18.6,7.298811683471111,51.84695219584629
"POLYGON ((7.231438037162147 51.83307852082054, 7.276353801368123 51.83307852082054, 7.276353801368123 51.80531406383633, 7.231438037162147 51.80531406383633, 7.231438037162147 51.83307852082054))",102,17.7,7.253895919265134,51.819196292328435
"POLYGON ((7.456016858192028 51.91626926633776, 7.500932622398003 51.91626926633776, 7.500932622398003 51.8885561180277, 7.456016858192028 51.8885561180277, 7.456016858192028 51.91626926633776))",179,17.4,7.478474740295015,51.90241269218274
"POLYGON ((7.366185329780076 51.91626926633776, 7.411101093986052 51.91626926633776, 7.411101093986052 51.8885561180277, 7.366185329780076 51.8885561180277, 7.366185329780076 51.91626926633776))",147,17.3,7.388643211883064,51.902412692182736
"POLYGON ((7.141606508750195 51.80531406383633, 7.186522272956172 51.80531406383633, 7.186522272956172 51.77753249589622, 7.141606508750195 51.77753249589622, 7.141606508750195 51.80531406383633))",71,16.3,7.164064390853183,51.79142327986628
"POLYGON ((7.186522272956172 51.80531406383633, 7.231438037162147 51.80531406383633, 7.231438037162147 51.77753249589622, 7.186522272956172 51.77753249589622, 7.186522272956172 51.80531406383633))",87,15.4,7.208980155059158,51.79142327986627
"POLYGON ((7.141606508750195 51.72191801112358, 7.186522272956172 51.72191801112358, 7.186522272956172 51.69408508631279, 7.141606508750195 51.69408508631279, 7.141606508750195 51.72191801112358))",74,15.1,7.164064390853183,51.70800154871819
"POLYGON ((7.366185329780076 51.8885561180277, 7.411101093986052 51.8885561180277, 7.411101093986052 51.86082587087206, 7.366185329780076 51.86082587087206, 7.366185329780076 51.8885561180277))",148,14.8,7.388643211883064,51.87469099444988
"POLYGON ((7.545848386603979 51.94396531986611, 7.590764150809957 51.94396531986611, 7.590764150809957 51.91626926633776, 7.545848386603979 51.91626926633776, 7.545848386603979 51.94396531986611))",210,14.7,7.5683062687069675,51.93011729310193
"POLYGON ((7.500932622398003 51.91626926633776, 7.545848386603979 51.91626926633776, 7.545848386603979 51.8885561180277, 7.500932622398003 51.8885561180277, 7.500932622398003 51.91626926633776))",195,14.5,7.52339050450099,51.902412692182736
"POLYGON ((7.006859216132267 51.66623503458968, 7.051774980338243 51.66623503458968, 7.051774980338243 51.63836785199938, 7.006859216132267 51.63836785199938, 7.006859216132267 51.66623503458968))",28,14.3,7.029317098235255,51.65230144329454
"POLYGON ((7.545848386603979 51.91626926633776, 7.590764150809957 51.91626926633776, 7.590764150809957 51.8885561180277, 7.545848386603979 51.8885561180277, 7.545848386603979 51.91626926633776))",211,13.1,7.5683062687069675,51.90241269218274
"POLYGON ((7.635679915015932 51.94396531986611, 7.680595679221907 51.94396531986611, 7.680595679221907 51.91626926633776, 7.635679915015932 51.91626926633776, 7.635679915015932 51.94396531986611))",242,12.5,7.65813779711892,51.93011729310194
"POLYGON ((7.006859216132267 51.63836785199938, 7.051774980338243 51.63836785199938, 7.051774980338243 51.61048353460085, 7.006859216132267 51.61048353460085, 7.006859216132267 51.63836785199938))",29,11.9,7.029317098235255,51.62442569330012
"POLYGON ((7.096690744544219 51.69408508631279, 7.141606508750195 51.69408508631279, 7.141606508750195 51.66623503458968, 7.096690744544219 51.66623503458968, 7.096690744544219 51.69408508631279))",59,11.2,7.119148626647207,51.680160060451236
"POLYGON ((7.545848386603979 51.99930615890027, 7.590764150809957 51.99930615890027, 7.590764150809957 51.97164428269002, 7.545848386603979 51.97164428269002, 7.545848386603979 51.99930615890027))",208,10.1,7.568306268706968,51.98547522079514
"POLYGON ((7.051774980338243 51.69408508631279, 7.096690744544219 51.69408508631279, 7.096690744544219 51.66623503458968, 7.051774980338243 51.66623503458968, 7.051774980338243 51.69408508631279))",43,8.0,7.074232862441231,51.680160060451236
"POLYGON ((7.006859216132267 51.61048353460085, 7.051774980338243 51.61048353460085, 7.051774980338243 51.58258207846681, 7.006859216132267 51.58258207846681, 7.006859216132267 51.61048353460085))",30,7.9,7.029317098235254,51.596532806533816
"POLYGON ((7.635679915015932 51.97164428269002, 7.680595679221907 51.97164428269002, 7.680595679221907 51.94396531986611, 7.635679915015932 51.94396531986611, 7.635679915015932 51.97164428269002))",241,7.8,7.65813779711892,51.957804801278066
"POLYGON ((7.051774980338243 51.66623503458968, 7.096690744544219 51.66623503458968, 7.096690744544219 51.63836785199938, 7.051774980338243 51.63836785199938, 7.051774980338243 51.66623503458968))",44,7.7,7.074232862441231,51.65230144329454
"POLYGON ((6.961943451926291 51.61048353460085, 7.006859216132267 51.61048353460085, 7.006859216132267 51.58258207846681, 6.961943451926291 51.58258207846681, 6.961943451926291 51.61048353460085))",14,7.7,6.984401334029278,51.596532806533816
"POLYGON ((7.590764150809957 51.99930615890027, 7.635679915015932 51.99930615890027, 7.635679915015932 51.97164428269002, 7.590764150809957 51.97164428269002, 7.590764150809957 51.99930615890027))",224,7.7,7.613222032912945,51.985475220795145
"POLYGON ((7.096690744544219 51.72191801112358, 7.141606508750195 51.72191801112358, 7.141606508750195 51.69408508631279, 7.096690744544219 51.69408508631279, 7.096690744544219 51.72191801112358))",58,7.6,7.119148626647207,51.70800154871819
"POLYGON ((7.545848386603979 51.97164428269002, 7.590764150809957 51.97164428269002, 7.590764150809957 51.94396531986611, 7.545848386603979 51.94396531986611, 7.545848386603979 51.97164428269002))",209,6.9,7.5683062687069675,51.95780480127806
"POLYGON ((7.590764150809957 51.94396531986611, 7.635679915015932 51.94396531986611, 7.635679915015932 51.91626926633776, 7.590764150809957 51.91626926633776, 7.590764150809957 51.94396531986611))",226,6.7,7.613222032912945,51.93011729310194
"POLYGON ((7.590764150809957 51.97164428269002, 7.635679915015932 51.97164428269002, 7.635679915015932 51.94396531986611, 7.590764150809957 51.94396531986611, 7.590764150809957 51.97164428269002))",225,6.2,7.613222032912944,51.957804801278066
"POLYGON ((6.961943451926291 51.63836785199938, 7.006859216132267 51.63836785199938, 7.006859216132267 51.61048353460085, 6.961943451926291 51.61048353460085, 6.961943451926291 51.63836785199938))",13,5.8,6.984401334029279,51.62442569330012
