,track.id,lat,lng,speed,spddiff,geometry,index_right,u,v,key,osmid,name,highway,oneway,length,maxspeed,lanes,ref,bridge,junction,access,width,tunnel,service,est_width
1829,5cdcea6d44ea85030283f9dd,53.46408002924885,10.02543417057678,107.50627190028217,-1.2978933368603975,POINT (568076.0452640163 5924387.121208771),6189,25434268,2256122546,0,152832962,,motorway,True,179.571,120,3,A 1,,,,,,,
1830,5cdcea6d44ea85030283f9dd,53.4653443552661,10.025086827850144,100.02413994847666,-7.482131951805513,POINT (568050.9646364166 5924527.439985584),12961,2256122546,92877222,0,"[152832960, 500853728, 28834975, 315059684, 23555571, 221671476, 190594197, 221671477, 190601527, 500853727]",,motorway,True,1577.7609999999997,"['signals', '120']","['4', '3']",A 1,yes,,,,,,
1831,5cdcea6d44ea85030283f9dd,53.46652531525567,10.024814861494153,95.10545606756386,-4.918683880912795,POINT (568031.0222445246 5924658.556746198),12961,2256122546,92877222,0,"[152832960, 500853728, 28834975, 315059684, 23555571, 221671476, 190594197, 221671477, 190601527, 500853727]",,motorway,True,1577.7609999999997,"['signals', '120']","['4', '3']",A 1,yes,,,,,,
1832,5cdcea6d44ea85030283f9dd,53.467699010103246,10.024564040403565,94.76042317404881,-0.34503289351505373,POINT (568012.4960584281 5924788.885564016),12961,2256122546,92877222,0,"[152832960, 500853728, 28834975, 315059684, 23555571, 221671476, 190594197, 221671477, 190601527, 500853727]",,motorway,True,1577.7609999999997,"['signals', '120']","['4', '3']",A 1,yes,,,,,,
1835,5cdcea6d44ea85030283f9dd,53.471263415353796,10.023801870078842,93.42224732445129,-4.154900067018616,POINT (567956.2093337267 5925184.682533535),12961,2256122546,92877222,0,"[152832960, 500853728, 28834975, 315059684, 23555571, 221671476, 190594197, 221671477, 190601527, 500853727]",,motorway,True,1577.7609999999997,"['signals', '120']","['4', '3']",A 1,yes,,,,,,
1836,5cdcea6d44ea85030283f9dd,53.47240727541894,10.023561771789641,92.42674006729794,-0.9955072571533492,POINT (567938.4460886206 5925311.702946273),12961,2256122546,92877222,0,"[152832960, 500853728, 28834975, 315059684, 23555571, 221671476, 190594197, 221671477, 190601527, 500853727]",,motorway,True,1577.7609999999997,"['signals', '120']","['4', '3']",A 1,yes,,,,,,
1837,5cdcea6d44ea85030283f9dd,53.47352989216506,10.023317148881754,90.99016181717866,-1.4365782501192825,POINT (567920.4172918734 5925436.355908096),12961,2256122546,92877222,0,"[152832960, 500853728, 28834975, 315059684, 23555571, 221671476, 190594197, 221671477, 190601527, 500853727]",,motorway,True,1577.7609999999997,"['signals', '120']","['4', '3']",A 1,yes,,,,,,
1842,5cdcea6d44ea85030283f9dd,53.4795228674235,10.02285037512948,99.05780151149565,-0.20682090188302027,POINT (567879.8716672751 5926102.60314161),12624,92877222,148150,0,"[32666881, 32666882, 190601524, 153648350]",,motorway,True,915.901,120,3,A 1,yes,,,,,,
1843,5cdcea6d44ea85030283f9dd,53.48070198055983,10.023337549393972,95.61333804790411,-3.4444634635915463,POINT (567910.318238175 5926234.23828229),12624,92877222,148150,0,"[32666881, 32666882, 190601524, 153648350]",,motorway,True,915.901,120,3,A 1,yes,,,,,,
1846,5cdcea6d44ea85030283f9dd,53.48396932640587,10.025808425679653,94.35252291454435,-3.029926334095535,POINT (568069.0538972663 5926600.072835761),12624,92877222,148150,0,"[32666881, 32666882, 190601524, 153648350]",,motorway,True,915.901,120,3,A 1,yes,,,,,,
1848,5cdcea6d44ea85030283f9dd,53.4861156812795,10.027588618757925,94.1947413887001,-0.5378710989834872,POINT (568183.7354965467 5926840.54683293),12624,92877222,148150,0,"[32666881, 32666882, 190601524, 153648350]",,motorway,True,915.901,120,3,A 1,yes,,,,,,
1852,5cdcea6d44ea85030283f9dd,53.49037632252926,10.031151741048445,92.40686995778265,-3.5125699148161402,POINT (568413.2957007497 5927317.938839058),17380,148150,148125,0,"[315076096, 23492450, 315076100, 23555595, 666153485, 23555597, 666153489, 152049778, 106413617, 157369853, 315179198]",,motorway,True,1971.1000000000001,"['100', '120']","['4', '5']",A 1,yes,,,,,,
1854,5cdcea6d44ea85030283f9dd,53.492446225092124,10.032876349408477,92.21967122246724,-0.5169173658518957,POINT (568524.3769499637 5927549.863275601),17380,148150,148125,0,"[315076096, 23492450, 315076100, 23555595, 666153485, 23555597, 666153489, 152049778, 106413617, 157369853, 315179198]",,motorway,True,1971.1000000000001,"['100', '120']","['4', '5']",A 1,yes,,,,,,
1856,5cdcea6d44ea85030283f9dd,53.49453221068224,10.03461893010199,90.60850620849578,-3.6177211549781987,POINT (568636.6132212781 5927783.596960915),17380,148150,148125,0,"[315076096, 23492450, 315076100, 23555595, 666153485, 23555597, 666153489, 152049778, 106413617, 157369853, 315179198]",,motorway,True,1971.1000000000001,"['100', '120']","['4', '5']",A 1,yes,,,,,,
1857,5cdcea6d44ea85030283f9dd,53.49554237998128,10.035452333516032,90.46716454121724,-0.1413416672785388,POINT (568690.2668314247 5927896.776876578),17380,148150,148125,0,"[315076096, 23492450, 315076100, 23555595, 666153485, 23555597, 666153489, 152049778, 106413617, 157369853, 315179198]",,motorway,True,1971.1000000000001,"['100', '120']","['4', '5']",A 1,yes,,,,,,
1859,5cdcea6d44ea85030283f9dd,53.497576668700574,10.037157085407923,88.6944477070349,-2.2485294918922136,POINT (568800.0605206768 5928124.727171378),17380,148150,148125,0,"[315076096, 23492450, 315076100, 23555595, 666153485, 23555597, 666153489, 152049778, 106413617, 157369853, 315179198]",,motorway,True,1971.1000000000001,"['100', '120']","['4', '5']",A 1,yes,,,,,,
1860,5cdcea6d44ea85030283f9dd,53.49852704301039,10.03791933467716,81.97743760405774,-6.717010102977156,POINT (568849.0831994161 5928231.188380912),17380,148150,148125,0,"[315076096, 23492450, 315076100, 23555595, 666153485, 23555597, 666153489, 152049778, 106413617, 157369853, 315179198]",,motorway,True,1971.1000000000001,"['100', '120']","['4', '5']",A 1,yes,,,,,,
1862,5cdcea6d44ea85030283f9dd,53.50047700441232,10.039004557026328,80.13593391821087,-3.821518850307257,POINT (568917.9052870031 5928449.162274752),17380,148150,148125,0,"[315076096, 23492450, 315076100, 23555595, 666153485, 23555597, 666153489, 152049778, 106413617, 157369853, 315179198]",,motorway,True,1971.1000000000001,"['100', '120']","['4', '5']",A 1,yes,,,,,,
1868,5cdcea6d44ea85030283f9dd,53.50669559379479,10.037681616057853,82.80464128254062,-5.053712767139359,POINT (568820.0833645585 5929139.676300905),17352,148125,93043263,0,"[4068560, 666153488, 190601529]",,motorway,True,708.4350000000001,"['80', '100']","['2', '3']",A 255,,,,,,,
1877,5cdcea6d44ea85030283f9dd,53.51533006951352,10.030822586891652,88.12730441065196,-0.43230930060872197,POINT (568351.3047077341 5930093.626101009),14857,93043263,16510688,0,45069890,,motorway,True,823.061,80,2,A 255,,,,,,,
1877,5cdcea6d44ea85030283f9dd,53.51533006951352,10.030822586891652,88.12730441065196,-0.43230930060872197,POINT (568351.3047077341 5930093.626101009),14758,93043180,16510688,0,45849506,,motorway_link,True,204.947,80,2,,,,,,,,
1878,5cdcea6d44ea85030283f9dd,53.51628685324178,10.029925010582804,88.11928067917643,-0.008023731475532259,POINT (568290.2520136035 5930199.204037061),28865,16510688,16510683,0,"[190601536, 10665805, 10665806, 25565202, 25504117, 105735605, 4891574, 190601532, 190601534]",,motorway,True,1310.239,80,"['4', '2', '3']",A 255,yes,,,,,,
1880,5cdcea6d44ea85030283f9dd,53.51818228887022,10.028142365982433,82.27990207993162,-6.663186370680933,POINT (568169.0129987404 5930408.357129335),28865,16510688,16510683,0,"[190601536, 10665805, 10665806, 25565202, 25504117, 105735605, 4891574, 190601532, 190601534]",,motorway,True,1310.239,80,"['4', '2', '3']",A 255,yes,,,,,,
1881,5cdcea6d44ea85030283f9dd,53.519079132834065,10.02733464125231,81.10547566705304,-1.1744264128785744,POINT (568114.021494931 5930507.355219778),28865,16510688,16510683,0,"[190601536, 10665805, 10665806, 25565202, 25504117, 105735605, 4891574, 190601532, 190601534]",,motorway,True,1310.239,80,"['4', '2', '3']",A 255,yes,,,,,,
